service_id,date,exception_type
92610,20190318,1
12010,20190318,1
85510,20190318,1
77710,20190318,1
40510,20190318,1
92610,20190319,1
12010,20190319,1
77710,20190319,1
40510,20190319,1
92610,20190320,1
12010,20190320,1
85510,20190320,1
77710,20190320,1
40510,20190320,1
92610,20190321,1
12010,20190321,1
77710,20190321,1
40510,20190321,1
92610,20190322,1
12010,20190322,1
85510,20190322,1
77710,20190322,1
92610,20190325,1
12010,20190325,1
85510,20190325,1
77710,20190325,1
40510,20190325,1
92610,20190326,1
12010,20190326,1
77710,20190326,1
40510,20190326,1
92610,20190327,1
12010,20190327,1
85510,20190327,1
77710,20190327,1
40510,20190327,1
92610,20190328,1
12010,20190328,1
77710,20190328,1
40510,20190328,1
92610,20190329,1
12010,20190329,1
85510,20190329,1
77710,20190329,1
94010,20190401,1
77710,20190401,1
40510,20190401,1
92610,20190402,1
12010,20190402,1
77710,20190402,1
40510,20190402,1
92610,20190403,1
12010,20190403,1
85510,20190403,1
77710,20190403,1
40510,20190403,1
92610,20190404,1
12010,20190404,1
77710,20190404,1
40510,20190404,1
92610,20190405,1
12010,20190405,1
85510,20190405,1
77710,20190405,1
92610,20190408,1
12010,20190408,1
85510,20190408,1
92210,20190408,1
92610,20190409,1
12010,20190409,1
92210,20190409,1
92610,20190410,1
12010,20190410,1
85510,20190410,1
92210,20190410,1
92610,20190411,1
12010,20190411,1
92210,20190411,1
92610,20190412,1
12010,20190412,1
87510,20190412,1
92210,20190412,1
94010,20190415,1
77710,20190415,1
40510,20190415,1
94010,20190416,1
77710,20190416,1
40510,20190416,1
94010,20190417,1
77710,20190417,1
40510,20190417,1
94010,20190418,1
77710,20190418,1
40510,20190418,1
94010,20190419,1
77710,20190419,1
92610,20190422,1
12010,20190422,1
85510,20190422,1
77710,20190422,1
40510,20190422,1
92610,20190423,1
12010,20190423,1
77710,20190423,1
40510,20190423,1
92610,20190424,1
12010,20190424,1
85510,20190424,1
77710,20190424,1
40510,20190424,1
92610,20190425,1
12010,20190425,1
77710,20190425,1
40510,20190425,1
92610,20190426,1
12010,20190426,1
85510,20190426,1
77710,20190426,1
92610,20190429,1
12010,20190429,1
85510,20190429,1
77710,20190429,1
40510,20190429,1
92610,20190430,1
12010,20190430,1
77710,20190430,1
40510,20190430,1
92610,20190501,1
12010,20190501,1
85510,20190501,1
77710,20190501,1
40510,20190501,1
92610,20190502,1
12010,20190502,1
77710,20190502,1
40510,20190502,1
92610,20190503,1
12010,20190503,1
85510,20190503,1
77710,20190503,1
92610,20190506,1
12010,20190506,1
85510,20190506,1
77710,20190506,1
40510,20190506,1
92610,20190507,1
12010,20190507,1
77710,20190507,1
40510,20190507,1
92610,20190508,1
12010,20190508,1
85510,20190508,1
77710,20190508,1
40510,20190508,1
92610,20190509,1
12010,20190509,1
77710,20190509,1
40510,20190509,1
92610,20190510,1
12010,20190510,1
85510,20190510,1
77710,20190510,1
92610,20190513,1
12010,20190513,1
85510,20190513,1
77710,20190513,1
40510,20190513,1
92610,20190514,1
12010,20190514,1
77710,20190514,1
40510,20190514,1
92610,20190515,1
12010,20190515,1
85510,20190515,1
77710,20190515,1
40510,20190515,1
92610,20190516,1
12010,20190516,1
77710,20190516,1
40510,20190516,1
92610,20190517,1
12010,20190517,1
85510,20190517,1
77710,20190517,1
92610,20190520,1
12010,20190520,1
85510,20190520,1
77710,20190520,1
40510,20190520,1
92610,20190521,1
12010,20190521,1
77710,20190521,1
40510,20190521,1
92610,20190522,1
12010,20190522,1
85510,20190522,1
77710,20190522,1
40510,20190522,1
92610,20190523,1
12010,20190523,1
77710,20190523,1
40510,20190523,1
92610,20190524,1
12010,20190524,1
87510,20190524,1
77710,20190524,1
2,20190527,1
10,20190527,2
92610,20190528,1
12010,20190528,1
77710,20190528,1
40510,20190528,1
92610,20190529,1
12010,20190529,1
85510,20190529,1
77710,20190529,1
40510,20190529,1
92610,20190530,1
12010,20190530,1
77710,20190530,1
40510,20190530,1
92610,20190531,1
12010,20190531,1
85510,20190531,1
77710,20190531,1
92610,20190603,1
79010,20190603,1
85510,20190603,1
77710,20190603,1
40510,20190603,1
92610,20190604,1
79010,20190604,1
77710,20190604,1
40510,20190604,1
92610,20190605,1
79010,20190605,1
87510,20190605,1
77710,20190605,1
40510,20190605,1
94010,20190606,1
77710,20190606,1
40510,20190606,1
87510,20190607,1
94010,20190607,1
77710,20190607,1
