service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4-ext,1,1,1,1,1,0,0,20170101,20200101
4-normal,1,1,1,1,1,1,0,20170101,20200101
7i-normal,1,1,1,1,1,0,0,20170101,20200101
7o-normal,1,1,1,1,1,0,0,20170101,20200101
8i-normal,1,1,1,1,1,0,0,20170101,20200101
8o-normal,1,1,1,1,1,0,0,20170101,20200101
95i-normal,1,1,1,1,1,1,0,20170101,20200101
9o-normal,1,1,1,1,0,0,0,20170101,20200101
9i-normal,1,1,1,1,0,0,0,20170101,20200101
2o-MT,1,1,1,1,0,0,0,20170101,20200101
6o-normal,1,1,1,1,1,0,0,20170101,20200101
6o-ext,0,0,0,0,0,1,0,20170101,20200101
6ao-normal,1,1,1,1,1,1,0,20170101,20200101
6ai-normal,1,1,1,1,1,1,0,20170101,20200101
6i-normal,1,1,1,1,1,0,0,20170101,20200101
6i-ext,0,0,0,0,0,1,0,20170101,20200101
5-normal,1,1,1,1,1,1,0,20170101,20200101
3-normal,1,1,1,1,1,0,0,20170101,20200101
3-ext,1,1,1,1,1,0,0,20170101,20200101
2i-Fri,0,0,0,0,1,0,0,20170101,20200101
5-ext,1,1,1,1,1,0,0,20170101,20200101
2o-Sat,0,0,0,0,0,1,0,20170101,20200101
2o-Fri,0,0,0,0,1,0,0,20170101,20200101
95o-Sat,0,0,0,0,0,1,0,20170101,20200101
10i-MW,1,0,1,0,1,0,0,20170101,20200101
10i-Sat,0,0,0,0,0,0,0,20170101,20200101
10o-MW,1,0,1,0,1,0,0,20170101,20200101
10o-Sat,0,0,0,0,0,0,0,20170101,20200101
95i-Sat,0,0,0,0,0,1,0,20170101,20200101
4a-normal,1,1,1,1,1,0,0,20170101,20200101
2i-MT,1,1,1,1,0,0,0,20170101,20200101
2i-Sat,0,0,0,0,0,1,0,20170101,20200101
6o-morning,1,1,1,1,1,0,0,20170101,20200101
6i-morning,1,1,1,1,1,0,0,20170101,20200101
13-normal,1,1,1,1,1,0,0,20170101,20200101
95i-ext,1,1,1,1,1,0,0,20170101,20200101
2i-ext,1,1,1,1,1,0,0,20170101,20200101
2i-normal,1,1,1,1,1,1,0,20170101,20200101
6ao-ext,1,1,1,1,1,0,0,20170101,20200101
6ai-ext,1,1,1,1,1,0,0,20170101,20200101
95o-MT,1,1,1,1,0,0,0,20170101,20200101
95o-MF,1,1,1,1,1,0,0,20170101,20200101
95o-Fri,0,0,0,0,1,0,0,20170101,20200101
2o-MF,1,1,1,1,1,0,0,20170101,20200101
2o-MS,1,1,1,1,1,1,0,20170101,20200101
95o-MS,1,1,1,1,1,1,0,20170101,20200101
