service_id,date,exception_type
2i-Sat,20150101,2
6ai-normal,20150101,2
2o-MT,20150101,2
4-normal,20150101,2
95o-MF,20150101,2
95o-MT,20150101,2
95o-Fri,20150101,2
95o-Sat,20150101,2
95o-MS,20150101,2
95i-ext,20150101,2
6ai-ext,20150101,2
6ao-normal,20150101,2
95i-Sat,20150101,2
4a-normal,20150101,2
95i-normal,20150101,2
5-normal,20150101,2
9i-normal,20150101,2
8i-normal,20150101,2
8o-normal,20150101,2
9o-normal,20150101,2
6ao-ext,20150101,2
3-normal,20150101,2
3-ext,20150101,2
2i-ext,20150101,2
2i-normal,20150101,2
2i-MT,20150101,2
2i-Fri,20150101,2
10i-MW,20150101,2
10i-Sat,20150101,2
10o-MW,20150101,2
10o-Sat,20150101,2
2o-MS,20150101,2
2o-Sat,20150101,2
2o-MF,20150101,2
2o-Fri,20150101,2
2o-Sat,20141225,2
2o-MF,20141225,2
2o-Fri,20141225,2
2o-MT,20141225,2
2i-Sat,20141225,2
6ai-normal,20141225,2
4-ext,20150101,2
5-ext,20150101,2
10o-Sat,20141225,2
2o-MS,20141225,2
10o-MW,20141225,2
10i-MW,20141225,2
10i-Sat,20141225,2
2i-Fri,20141225,2
2i-MT,20141225,2
2i-normal,20141225,2
2i-ext,20141225,2
3-ext,20141225,2
3-normal,20141225,2
6ao-ext,20141225,2
9o-normal,20141225,2
8o-normal,20141225,2
8i-normal,20141225,2
9i-normal,20141225,2
5-normal,20141225,2
95i-normal,20141225,2
4a-normal,20141225,2
95i-Sat,20141225,2
6ao-normal,20141225,2
6ai-ext,20141225,2
95i-ext,20141225,2
95o-MS,20141225,2
95o-Sat,20141225,2
95o-Fri,20141225,2
95o-MT,20141225,2
95o-MF,20141225,2
4-normal,20141225,2
5-ext,20141225,2
4-ext,20141225,2
6ai-normal,20141128,2
2i-Sat,20141128,2
2o-MT,20141128,2
2o-Fri,20141128,2
2o-MF,20141128,2
2o-Sat,20141128,2
2o-MS,20141128,2
10o-Sat,20141128,2
10o-MW,20141128,2
10i-Sat,20141128,2
10i-MW,20141128,2
2i-Fri,20141128,2
2i-MT,20141128,2
2i-normal,20141128,2
2i-ext,20141128,2
3-ext,20141128,2
3-normal,20141128,2
6ao-ext,20141128,2
9o-normal,20141128,2
8o-normal,20141128,2
8i-normal,20141128,2
9i-normal,20141128,2
5-normal,20141128,2
95i-normal,20141128,2
4a-normal,20141128,2
95i-Sat,20141128,2
6ao-normal,20141128,2
6ai-ext,20141128,2
95i-ext,20141128,2
95o-MS,20141128,2
95o-Sat,20141128,2
95o-Fri,20141128,2
95o-MT,20141128,2
95o-MF,20141128,2
4-normal,20141128,2
5-ext,20141128,2
4-ext,20141128,2
2i-Sat,20141127,2
6ai-normal,20141127,2
2o-MT,20141127,2
2o-Sat,20141127,2
2o-MF,20141127,2
2o-Fri,20141127,2
2o-MS,20141127,2
10o-Sat,20141127,2
10o-MW,20141127,2
10i-Sat,20141127,2
10i-MW,20141127,2
2i-Fri,20141127,2
2i-MT,20141127,2
2i-normal,20141127,2
2i-ext,20141127,2
3-ext,20141127,2
3-normal,20141127,2
6ao-ext,20141127,2
9o-normal,20141127,2
8o-normal,20141127,2
8i-normal,20141127,2
9i-normal,20141127,2
5-normal,20141127,2
95i-normal,20141127,2
4a-normal,20141127,2
95i-Sat,20141127,2
6ao-normal,20141127,2
6ai-ext,20141127,2
95i-ext,20141127,2
95o-MS,20141127,2
95o-Sat,20141127,2
95o-Fri,20141127,2
95o-MT,20141127,2
95o-MF,20141127,2
4-normal,20141127,2
5-ext,20141127,2
4-ext,20141127,2
6ai-normal,20141111,2
2i-Sat,20141111,2
2o-MT,20141111,2
2o-Fri,20141111,2
2o-MF,20141111,2
2o-Sat,20141111,2
2o-MS,20141111,2
10o-Sat,20141111,2
10o-MW,20141111,2
10i-Sat,20141111,2
10i-MW,20141111,2
2i-Fri,20141111,2
2i-MT,20141111,2
2i-normal,20141111,2
2i-ext,20141111,2
3-ext,20141111,2
3-normal,20141111,2
6ao-ext,20141111,2
9o-normal,20141111,2
8o-normal,20141111,2
8i-normal,20141111,2
9i-normal,20141111,2
5-normal,20141111,2
95i-normal,20141111,2
4a-normal,20141111,2
95i-Sat,20141111,2
6ao-normal,20141111,2
6ai-ext,20141111,2
95i-ext,20141111,2
95o-MS,20141111,2
95o-Sat,20141111,2
95o-Fri,20141111,2
95o-MT,20141111,2
95o-MF,20141111,2
4-normal,20141111,2
5-ext,20141111,2
4-ext,20141111,2
