trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
352,12:55:00,12:55:00,262,50,,0,0,
352,,,323,49,,0,0,
352,,,472,48,,0,0,
352,,,471,47,,0,0,
352,,,470,46,,0,0,
352,,,469,45,,0,0,
352,,,468,44,,0,0,
352,,,318,42,,0,0,
351,11:20:00,11:20:00,157,15,,0,0,
189,06:44:00,06:44:00,360,23,,0,0,
235,06:43:00,06:43:00,497,55,,0,0,
235,06:39:00,06:39:00,560,51,,0,0,
243,,,483,11,,0,0,
235,,,495,54,,0,0,
235,,,494,53,,0,0,
367,,,34,33,,0,0,
367,,,411,37,,0,0,
367,11:27:00,11:30:00,36,36,,0,0,
367,11:15:00,11:15:00,430,24,,0,0,
367,,,431,25,,0,0,
367,,,432,26,,0,0,
367,,,147,27,,0,0,
367,11:20:00,11:20:00,588,31,,0,0,
367,11:35:00,11:35:00,591,40,,0,0,
367,,,35,34,,0,0,
367,,,411,35,,0,0,
367,,,585,28,,0,0,
367,,,33,32,,0,0,
367,,,82,23,,0,0,
367,,,81,22,,0,0,
14,,,225,49,,0,0,
14,,,228,52,,0,0,
14,,,227,51,,0,0,
14,,,226,50,,0,0,
16,,,418,28,,0,0,
16,,,419,29,,0,0,
16,08:39:00,08:39:00,224,48,,0,0,
16,,,223,47,,0,0,
16,,,222,46,,0,0,
16,,,221,45,,0,0,
16,,,239,10,,0,0,
16,,,220,44,,0,0,
16,,,219,43,,0,0,
16,08:34:00,08:34:00,218,42,,0,0,
16,08:32:00,08:32:00,79,41,,0,0,
16,,,210,40,,0,0,
16,,,209,39,,0,0,
16,,,208,38,,0,0,
16,,,61,57,,0,0,
16,08:29:00,08:29:00,207,37,,0,0,
16,,,143,36,,0,0,
16,,,142,35,,0,0,
16,08:25:00,08:25:00,412,34,,0,0,
16,,,433,33,,0,0,
16,,,255,26,,0,0,
16,08:22:00,08:22:00,421,32,,0,0,
16,,,420,31,,0,0,
16,07:53:00,07:53:00,63,1,,0,0,
16,08:16:00,08:18:00,428,30,,0,0,
16,,,231,2,,0,0,
16,,,232,3,,0,0,
16,08:48:00,08:48:00,63,59,,0,0,
16,,,233,4,,0,0,
16,,,234,5,,0,0,
16,,,235,6,,0,0,
16,,,236,7,,0,0,
16,,,417,27,,0,0,
16,,,237,8,,0,0,
16,,,238,9,,0,0,
16,,,60,56,,0,0,
16,08:45:00,08:45:00,59,55,,0,0,
16,,,230,54,,0,0,
16,,,229,53,,0,0,
16,08:11:00,08:11:00,254,25,,0,0,
16,,,252,23,,0,0,
16,,,253,24,,0,0,
16,,,251,22,,0,0,
16,,,250,21,,0,0,
17,,,243,14,,0,0,
17,,,244,15,,0,0,
17,,,245,16,,0,0,
17,,,246,17,,0,0,
17,09:06:00,09:06:00,247,18,,0,0,
17,,,248,19,,0,0,
17,,,249,20,,0,0,
17,,,250,21,,0,0,
189,,,96,24,,0,0,
17,,,251,22,,0,0,
17,,,253,24,,0,0,
17,,,252,23,,0,0,
17,09:11:00,09:11:00,254,25,,0,0,
17,,,229,53,,0,0,
17,,,230,54,,0,0,
17,09:45:00,09:45:00,59,55,,0,0,
17,,,60,56,,0,0,
17,,,238,9,,0,0,
17,,,237,8,,0,0,
17,,,417,27,,0,0,
17,,,236,7,,0,0,
17,,,235,6,,0,0,
17,,,234,5,,0,0,
17,,,233,4,,0,0,
17,09:48:00,09:48:00,63,59,,0,0,
17,,,232,3,,0,0,
17,,,231,2,,0,0,
17,09:16:00,09:18:00,428,30,,0,0,
17,08:53:00,08:53:00,63,1,,0,0,
17,,,420,31,,0,0,
17,09:22:00,09:22:00,421,32,,0,0,
17,,,255,26,,0,0,
17,,,433,33,,0,0,
17,09:25:00,09:25:00,412,34,,0,0,
17,,,142,35,,0,0,
17,,,143,36,,0,0,
17,09:29:00,09:29:00,207,37,,0,0,
17,,,61,57,,0,0,
17,,,208,38,,0,0,
17,,,209,39,,0,0,
364,,,611,60,,0,0,
18,,,419,29,,0,0,
18,10:39:00,10:39:00,224,48,,0,0,
18,,,223,47,,0,0,
18,,,222,46,,0,0,
18,,,221,45,,0,0,
18,,,239,10,,0,0,
18,,,220,44,,0,0,
18,,,219,43,,0,0,
18,10:34:00,10:34:00,218,42,,0,0,
18,10:32:00,10:32:00,79,41,,0,0,
18,,,210,40,,0,0,
18,,,209,39,,0,0,
18,,,208,38,,0,0,
18,,,61,57,,0,0,
18,10:29:00,10:29:00,207,37,,0,0,
18,,,143,36,,0,0,
18,,,142,35,,0,0,
18,10:25:00,10:25:00,412,34,,0,0,
18,,,433,33,,0,0,
18,,,255,26,,0,0,
18,10:22:00,10:22:00,421,32,,0,0,
18,,,420,31,,0,0,
18,09:53:00,09:53:00,63,1,,0,0,
