shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
24043,34.017290,-118.473445,1,0.000000
24043,34.017540,-118.473109,2,0.069300
24043,34.017720,-118.472770,3,0.107100
24043,34.018239,-118.471820,4,0.211600
24043,34.018280,-118.471740,5,0.220200
24043,34.018329,-118.471650,6,0.229700
24043,34.018502,-118.471190,7,0.281800
24043,34.018929,-118.470499,8,0.355100
24043,34.019139,-118.470099,9,0.398600
24043,34.019479,-118.469459,10,0.468000
24043,34.019757,-118.469578,11,0.500600
24043,34.019939,-118.469810,12,0.529200
24043,34.020189,-118.470080,13,0.566100
24043,34.020620,-118.470579,14,0.632600
24043,34.021910,-118.472005,15,0.842700
24043,34.023009,-118.473379,16,1.002500
24043,34.023249,-118.473689,17,1.042100
24043,34.023359,-118.473829,18,1.059800
24043,34.023529,-118.474019,19,1.086000
24043,34.023689,-118.474199,20,1.110100
24043,34.023909,-118.474449,21,1.143300
24043,34.024259,-118.474850,22,1.197100
24043,34.024370,-118.474989,23,1.214800
24043,34.024723,-118.475317,24,1.264300
24043,34.024889,-118.475589,25,1.294700
24043,34.025609,-118.476439,26,1.407100
24043,34.026010,-118.476910,27,1.468700
24043,34.025767,-118.477359,28,1.509000
24043,34.025767,-118.477359,29,1.527400
24043,34.025767,-118.477359,30,1.537300
24043,34.025249,-118.477860,31,1.589600
24043,34.024730,-118.478490,32,1.671600
24043,34.024470,-118.478810,33,1.713300
24043,34.023813,-118.479678,34,1.833600
24043,34.022950,-118.480700,35,1.955900
24043,34.022189,-118.481630,36,2.076800
24043,34.021659,-118.482299,37,2.161700
24043,34.021482,-118.482574,38,2.202000
24043,34.021770,-118.483019,39,2.257200
24043,34.022410,-118.483769,40,2.356200
24043,34.022760,-118.484169,41,2.410000
24043,34.023063,-118.484356,42,2.451100
24043,34.023770,-118.485349,43,2.566400
24043,34.024349,-118.485854,44,2.612300
24043,34.023869,-118.485950,45,2.644200
24043,34.023320,-118.486649,46,2.733300
24043,34.022559,-118.487589,47,2.854200
24043,34.021686,-118.488749,48,2.976600
24043,34.021009,-118.489510,49,3.101000
24043,34.022379,-118.491090,50,3.311800
24043,34.023140,-118.490129,51,3.434200
24043,34.021686,-118.488749,52,3.644200
24043,34.022559,-118.487589,53,3.766500
24043,34.023320,-118.486649,54,3.887400
24043,34.023869,-118.485950,55,3.976600
24043,34.024069,-118.485699,56,4.008400
24043,34.024349,-118.485854,57,4.062200
24043,34.025180,-118.486969,58,4.178900
24043,34.025450,-118.487289,59,4.221400
24043,34.025769,-118.487526,60,4.260300
24043,34.026350,-118.488359,61,4.362100
24043,34.026460,-118.488480,62,4.378400
24043,34.026992,-118.488959,63,4.430000
24043,34.027219,-118.489389,64,4.497200
24043,34.027319,-118.489499,65,4.512100
24043,34.027419,-118.489629,66,4.528300
24043,34.027520,-118.489740,67,4.543900
24043,34.027610,-118.489839,68,4.557400
24043,34.027880,-118.490159,69,4.599100
24043,34.028510,-118.490719,70,4.643000
24043,34.029530,-118.492059,71,4.853100
24043,34.029839,-118.492430,72,4.901200
24043,34.030870,-118.493639,73,5.061700
24043,34.032064,-118.494884,74,5.265400
24043,34.032449,-118.494870,75,5.306400
24043,34.032729,-118.494519,76,5.351700
24043,34.032959,-118.494249,77,5.387000
24043,34.033086,-118.493894,78,5.454200
24043,34.033730,-118.493309,79,5.508700
24043,34.034637,-118.492120,80,5.631000
24043,34.035200,-118.491500,81,5.742000
24043,34.035260,-118.491419,82,5.752700
24043,34.035890,-118.490649,83,5.852400
24043,34.036039,-118.490460,84,5.876400
24043,34.036289,-118.490159,85,5.916000
24043,34.036655,-118.489648,86,5.961300
24043,34.036655,-118.489648,87,5.998700
24043,34.036419,-118.489070,88,6.059600
24043,34.035470,-118.487980,89,6.205300
24043,34.034235,-118.486642,90,6.414700
24043,34.032886,-118.485056,91,6.624800
24043,34.031899,-118.483809,92,6.758400
24043,34.031790,-118.483679,93,6.775400
24043,34.031660,-118.483530,94,6.795300
24043,34.031234,-118.483132,95,6.837000
24043,34.031060,-118.482819,96,6.888600
24043,34.031019,-118.482770,97,6.895700
24043,34.030379,-118.482009,98,6.994700
24043,34.030091,-118.481799,99,7.046300
24043,34.029160,-118.480579,100,7.184200
24043,34.028939,-118.480330,101,7.218200
24043,34.028659,-118.480010,102,7.260700
24043,34.028376,-118.479787,103,7.316500
24043,34.027659,-118.478840,104,7.415600
24043,34.027360,-118.478480,105,7.462200
24043,34.027044,-118.478944,106,7.522300
24043,34.026609,-118.479430,107,7.583200
24043,34.025830,-118.480389,108,7.706900
24043,34.025069,-118.481330,109,7.828600
24043,34.023813,-118.479678,110,8.039300
24043,34.023813,-118.479678,111,8.086000
24043,34.022060,-118.477810,112,8.294700
24043,34.021147,-118.479006,113,8.419100
24043,34.020729,-118.479449,114,8.505400
24043,34.020549,-118.479669,115,8.533700
24043,34.020479,-118.479750,116,8.545000
24043,34.020389,-118.479859,117,8.559100
24043,34.019990,-118.480359,118,8.623500
24043,34.019749,-118.480659,119,8.661700
24043,34.019639,-118.480520,120,8.678600
24043,34.019350,-118.480169,121,8.724600
24043,34.019199,-118.479989,122,8.747900
24043,34.019070,-118.479840,123,8.768500
24043,34.018689,-118.479399,124,8.826500
24043,34.018311,-118.479011,125,8.865400
24043,34.017370,-118.477879,126,9.029500
24043,34.016259,-118.476569,127,9.202100
24043,34.016079,-118.476320,128,9.233200
24043,34.015930,-118.476129,129,9.256600
24043,34.015989,-118.476010,130,9.269100
24043,34.016169,-118.475559,131,9.319000
24043,34.016399,-118.475240,132,9.353700
24043,34.016939,-118.474229,133,9.464400
24043,34.017290,-118.473445,134,9.517100
24043,34.017540,-118.473109,135,9.586400
