shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
24053,34.054669,-118.494860,1,0.000000
24053,34.054979,-118.494899,2,0.034100
24053,34.055050,-118.495707,3,0.108600
24053,34.054730,-118.495779,4,0.144300
24053,34.054783,-118.494866,5,0.228500
24053,34.054649,-118.494590,6,0.253700
24053,34.054599,-118.494359,7,0.275300
24053,34.054550,-118.494249,8,0.287000
24053,34.054489,-118.494150,9,0.298400
24053,34.054329,-118.494010,10,0.319800
24053,34.054149,-118.493909,11,0.342600
24053,34.053949,-118.493859,12,0.365200
24053,34.053800,-118.493849,13,0.382200
24053,34.053570,-118.493920,14,0.408200
24053,34.053480,-118.493960,15,0.418900
24053,34.053180,-118.494119,16,0.455700
24053,34.052939,-118.494230,17,0.484900
24053,34.052769,-118.494309,18,0.505100
24053,34.052239,-118.494519,19,0.567100
24053,34.051809,-118.494650,20,0.616600
24053,34.051699,-118.494680,21,0.629000
24053,34.051609,-118.494699,22,0.639100
24053,34.051349,-118.494770,23,0.668800
24053,34.051110,-118.494789,24,0.695800
24053,34.050889,-118.494749,25,0.721000
24053,34.050779,-118.494699,26,0.734000
24053,34.050689,-118.494629,27,0.745700
24053,34.050500,-118.494410,28,0.774700
24053,34.050290,-118.494159,29,0.807900
24053,34.050179,-118.494039,30,0.824200
24053,34.050078,-118.493970,31,0.844700
24053,34.049279,-118.493009,32,0.962200
24053,34.048989,-118.492679,33,1.007500
24053,34.048819,-118.492469,34,1.034300
24053,34.048439,-118.492030,35,1.092300
24053,34.048330,-118.492449,36,1.132200
24053,34.048209,-118.492800,37,1.168000
24053,34.048099,-118.493129,38,1.200300
24053,34.047749,-118.493819,39,1.274400
24053,34.047549,-118.494150,40,1.312400
24053,34.047289,-118.494479,41,1.354200
24053,34.046990,-118.494870,42,1.403700
24053,34.046890,-118.494989,43,1.419200
24053,34.046209,-118.495869,44,1.529600
24053,34.045700,-118.496519,45,1.611700
24053,34.045450,-118.496829,46,1.652000
24053,34.044769,-118.497700,47,1.762300
24053,34.044280,-118.498319,48,1.840800
24053,34.044100,-118.498560,49,1.870500
24053,34.043429,-118.499450,50,1.981700
24053,34.042779,-118.500239,51,2.084200
24053,34.042059,-118.501170,52,2.200900
24053,34.041830,-118.501490,53,2.240600
24053,34.041509,-118.501859,54,2.289500
24053,34.041290,-118.502150,55,2.325600
24053,34.039799,-118.504040,56,2.566100
24053,34.039780,-118.503742,57,2.583100
24053,34.040780,-118.502520,58,2.760600
24053,34.041159,-118.502030,59,2.822200
24053,34.041320,-118.501829,60,2.847700
24053,34.041449,-118.501660,61,2.869600
24053,34.041699,-118.501359,62,2.907800
24053,34.041851,-118.501053,63,2.947500
24053,34.042619,-118.500159,64,3.059200
24053,34.043224,-118.499299,65,3.167400
24053,34.043979,-118.498439,66,3.278500
24053,34.044660,-118.497589,67,3.387400
24053,34.045277,-118.496719,68,3.496300
24053,34.045579,-118.496400,69,3.536700
24053,34.046070,-118.495749,70,3.618100
24053,34.046289,-118.495479,71,3.652000
24053,34.046769,-118.494879,72,3.729100
24053,34.046694,-118.494889,73,3.741100
24053,34.047410,-118.494020,74,3.835300
24053,34.047620,-118.493700,75,3.873700
24053,34.047759,-118.493449,76,3.901200
24053,34.047939,-118.493039,77,3.943200
24053,34.048119,-118.492580,78,3.989800
24053,34.048160,-118.492440,79,4.003700
24053,34.048199,-118.492310,80,4.016300
24053,34.048320,-118.491869,81,4.059700
24053,34.047999,-118.491490,82,4.109200
24053,34.047568,-118.491039,83,4.138200
24053,34.047050,-118.490389,84,4.256300
24053,34.046839,-118.490150,85,4.288100
24053,34.046700,-118.489979,86,4.310800
24053,34.046649,-118.489920,87,4.318600
24053,34.046430,-118.489640,88,4.354000
24053,34.045949,-118.489100,89,4.426900
24053,34.045639,-118.488797,90,4.450200
24053,34.044005,-118.486873,91,4.701300
24053,34.042779,-118.485380,92,4.918400
24053,34.042629,-118.485200,93,4.942500
24053,34.042349,-118.484880,94,4.984900
24053,34.041719,-118.484150,95,5.082500
24053,34.041419,-118.483800,96,5.128500
24053,34.041094,-118.483472,97,5.184400
24053,34.040130,-118.482289,98,5.328700
24053,34.038970,-118.480920,99,5.508300
24053,34.038809,-118.480730,100,5.533100
24053,34.038759,-118.480749,101,5.539200
24053,34.038719,-118.480740,102,5.544200
24053,34.038690,-118.480679,103,5.550900
24053,34.038441,-118.480367,104,5.557000
24053,34.038089,-118.479890,105,5.651700
24053,34.037409,-118.479099,106,5.757100
24053,34.036360,-118.477869,107,5.919800
24053,34.036020,-118.477469,108,5.972800
24053,34.035815,-118.477295,109,6.022400
24053,34.035620,-118.477010,110,6.034400
24053,34.034650,-118.475880,111,6.183700
24053,34.034419,-118.475619,112,6.219100
24053,34.033650,-118.474700,113,6.339300
24053,34.033560,-118.474599,114,6.352700
24053,34.033300,-118.474300,115,6.393100
24053,34.033020,-118.474037,116,6.436200
24053,34.032269,-118.473099,117,6.552200
24053,34.031969,-118.472739,118,6.598900
24053,34.031660,-118.472399,119,6.645700
24053,34.031269,-118.471949,120,6.706500
24053,34.031130,-118.471790,121,6.727000
24053,34.030950,-118.471589,122,6.754600
24053,34.030629,-118.471219,123,6.803400
24053,34.030877,-118.470760,124,6.852900
24053,34.031330,-118.470340,125,6.915900
24053,34.032050,-118.469469,126,7.029000
24053,34.032549,-118.468839,127,7.109600
24053,34.031455,-118.467553,128,7.253200
24053,34.031250,-118.467240,129,7.316100
24053,34.030999,-118.466930,130,7.356400
24053,34.030389,-118.465930,131,7.470000
24053,34.030220,-118.465719,132,7.496900
24053,34.030029,-118.465530,133,7.524600
24053,34.029800,-118.465359,134,7.554600
24053,34.028980,-118.467129,135,7.740400
24053,34.028810,-118.467669,136,7.793900
24053,34.028240,-118.469480,137,7.971800
24053,34.028186,-118.469793,138,8.006900
24053,34.028600,-118.469850,139,8.059900
24053,34.028829,-118.469879,140,8.085000
24053,34.028919,-118.469890,141,8.095000
24053,34.029060,-118.469930,142,8.111500
24053,34.029260,-118.469980,143,8.133900
24053,34.029479,-118.470080,144,8.160500
24053,34.029800,-118.470300,145,8.202100
24053,34.029919,-118.470390,146,8.217400
24053,34.030119,-118.470589,147,8.246600
